iter	Passed	Remaining
864	16287	40200
865	16306	40181
866	16326	40165
867	16344	40146
868	16363	40126
869	16381	40105
870	16399	40086
871	16417	40065
872	16436	40046
873	16454	40026
874	16472	40005
875	16492	39988
876	16511	39970
877	16529	39950
878	16548	39930
879	16565	39908
880	16584	39888
881	16601	39866
882	16620	39848
883	16639	39829
884	16656	39807
885	16675	39788
886	16694	39768
887	16714	39752
888	16733	39734
889	16752	39716
890	16770	39696
891	16789	39678
892	16809	39660
893	16828	39643
894	16846	39621
895	16864	39602
896	16883	39583
897	16902	39563
898	16921	39546
899	16940	39527
900	16959	39508
901	16977	39487
902	16996	39469
903	17014	39449
904	17033	39430
905	17051	39410
906	17069	39389
907	17087	39369
908	17106	39351
909	17125	39331
910	17143	39310
911	17161	39290
912	17180	39271
913	17198	39252
914	17218	39235
915	17239	39222
916	17258	39204
917	17277	39184
918	17295	39164
919	17314	39144
920	17332	39124
921	17352	39108
922	17371	39090
923	17391	39075
924	17410	39056
925	17430	39039
926	17448	39018
927	17466	38999
928	17486	38981
929	17505	38963
930	17524	38946
931	17542	38925
932	17561	38905
933	17579	38884
934	17597	38866
935	17617	38848
936	17635	38828
937	17654	38810
938	17674	38793
939	17693	38774
940	17712	38756
941	17731	38737
942	17749	38717
943	17768	38699
944	17787	38680
945	17806	38662
946	17825	38643
947	17844	38624
948	17861	38603
949	17880	38583
950	17898	38564
951	17917	38545
952	17936	38526
953	17954	38505
954	17972	38486
955	17991	38466
956	18010	38448
957	18029	38431
958	18049	38413
959	18068	38395
960	18087	38377
961	18106	38359
962	18126	38341
963	18145	38323
964	18163	38304
965	18181	38283
966	18201	38265
967	18220	38248
968	18239	38229
969	18258	38212
970	18277	38193
971	18297	38175
972	18314	38154
973	18333	38135
974	18352	38117
975	18371	38097
976	18391	38081
977	18410	38063
978	18430	38046
979	18449	38028
980	18467	38007
981	18485	37986
982	18504	37969
983	18523	37950
984	18542	37932
985	18561	37913
986	18580	37894
987	18599	37875
988	18618	37857
989	18636	37837
990	18655	37818
991	18674	37800
992	18692	37780
993	18711	37762
994	18730	37744
995	18751	37728
996	18769	37709
997	18788	37690
